,pa0,pa1,pa2,pa3,pa4,pa5
pb0,1.412873e-08,-0.0,-0.0,0.0,0.0,0.0
pb1,0.3246891,-0.0,-0.0,0.0,-0.0,0.0
pb2,0.11774688,0.0,-0.0,0.0,-0.0,-0.0
pb3,0.18351445,-0.0,-0.0,-0.0,-0.0,0.0
pb4,-0.0,-0.18692926,0.0,0.0,-0.0,-0.0
pb5,0.0,0.08382436,-0.0,0.0,0.0,-0.0
pb6,-0.0,-0.15314348,-0.0,0.0,0.0,-0.0
pb7,-0.0,0.10343215,-0.0,0.0,0.0,-0.0
pb8,0.0,0.0,0.15492438,0.0,0.0,0.0
pb9,-0.0,0.0,-0.29115027,0.0,0.0,-0.0
pb10,0.0,-0.0,-0.040673144,0.0,0.0,-0.0
pb11,-0.0,-0.0,-0.0,0.23981799,0.0,-0.0
pb12,-0.20806235,-0.0,0.0,0.0,-0.0,0.0
pb13,-0.0,0.0,0.0,0.29968318,0.0,0.0
pb14,-0.0,0.0,0.0,-0.1629627,0.0,0.0
pb15,0.0,0.0,0.0,-0.1683355,0.0,-0.0
pb16,-0.0,0.0,0.0,0.0,0.29195994,-0.0
pb17,-0.0,0.0,-0.0,0.0,-0.22660105,0.0
pb18,-0.0,0.0,0.0,0.0,-0.17379436,0.0
pb19,-0.0,0.0,0.0,-0.0,0.093451016,0.0
pb20,-0.0,-0.0,0.0,-0.0,-0.16211334,0.0
pb21,-0.0,-0.0,0.0,0.0,-0.19880001,0.0
pb22,0.0,0.0,0.0,-0.0,-0.22418563,0.0
pb23,0.083517,0.0,-0.0,0.0,-0.0,0.0
pb24,-0.0,-0.0,-0.0,-0.0,-0.154547,0.0
pb25,-0.0,-0.0,-0.0,-0.0,0.119546056,0.0
pb26,0.0,0.0,-0.0,-0.0,-0.01978565,-0.0
pb27,0.0,-0.0,-0.0,-0.0,0.0,-0.09059281
pb28,0.0,-0.0,-0.0,-0.0,-0.0,-0.24509045
pb29,-0.0,-0.0,-0.0,-0.0,0.0,-0.31714144
pb30,-0.0,0.0,0.0,0.0,-0.0,0.22063713
pb31,-0.0,-0.0,0.0,-0.0,0.0,-0.3831066
pb32,-0.0,-0.0,0.0,-0.0,0.0,-0.18370138
pb33,0.0,-0.0,-0.0,-0.0,-0.0,-0.0802983
pb34,0.35595247,-0.0,-0.0,0.0,-0.0,0.0
pb35,0.0,-0.0,-0.0,0.0,-0.0,0.16467707
pb36,-0.0,-0.0,-0.0,0.0,-0.0,-0.19671996
pb37,-0.0,0.0,-0.0,0.0,0.0,-0.12122049
pb38,0.0,0.0,-0.0,0.0,-0.0,0.0033471084
pb39,0.07194851,-0.0,-0.0,-0.0,0.0,0.0
pb40,0.05010569,0.0,0.0,-0.0,-0.0,-0.0
pb41,0.14458221,-0.0,-0.0,0.0,-0.0,0.0
pb42,0.27336162,0.0,0.0,-0.0,-0.0,-0.0
pb43,0.1750813,-0.0,-0.0,0.0,-0.0,-0.0
