pb,path0,path1,path2,path3,path4,path5
path0,1.0,0.0,0.0,0.0,0.0,0.0
path1,1.0,0.0,0.0,0.0,0.0,0.0
path10,1.0,0.0,0.0,0.0,0.0,0.0
path11,1.0,0.0,0.0,0.0,0.0,0.0
path12,0.0,1.0,0.0,0.0,0.0,0.0
path13,0.0,1.0,0.0,0.0,0.0,0.0
path14,0.0,1.0,0.0,0.0,0.0,0.0
path15,0.0,1.0,0.0,0.0,0.0,0.0
path16,0.0,0.0,1.0,0.0,0.0,0.0
path17,0.0,0.0,1.0,0.0,0.0,0.0
path18,0.0,0.0,1.0,0.0,0.0,0.0
path19,0.0,0.0,0.0,1.0,0.0,0.0
path2,1.0,0.0,0.0,0.0,0.0,0.0
path20,0.0,0.0,0.0,1.0,0.0,0.0
path21,0.0,0.0,0.0,1.0,0.0,0.0
path22,0.0,0.0,0.0,1.0,0.0,0.0
path23,0.0,0.0,0.0,0.0,1.0,0.0
path24,0.0,0.0,0.0,0.0,1.0,0.0
path25,0.0,0.0,0.0,0.0,1.0,0.0
path26,0.0,0.0,0.0,0.0,1.0,0.0
path27,0.0,0.0,0.0,0.0,1.0,0.0
path28,0.0,0.0,0.0,0.0,1.0,0.0
path29,0.0,0.0,0.0,0.0,1.0,0.0
path3,1.0,0.0,0.0,0.0,0.0,0.0
path30,0.0,0.0,0.0,0.0,1.0,0.0
path31,0.0,0.0,0.0,0.0,1.0,0.0
path32,0.0,0.0,0.0,0.0,1.0,0.0
path33,0.0,0.0,0.0,0.0,0.0,1.0
path34,0.0,0.0,0.0,0.0,0.0,1.0
path35,0.0,0.0,0.0,0.0,0.0,1.0
path36,0.0,0.0,0.0,0.0,0.0,1.0
path37,0.0,0.0,0.0,0.0,0.0,1.0
path38,0.0,0.0,0.0,0.0,0.0,1.0
path39,0.0,0.0,0.0,0.0,0.0,1.0
path4,1.0,0.0,0.0,0.0,0.0,0.0
path40,0.0,0.0,0.0,0.0,0.0,1.0
path41,0.0,0.0,0.0,0.0,0.0,1.0
path42,0.0,0.0,0.0,0.0,0.0,1.0
path43,0.0,0.0,0.0,0.0,0.0,1.0
path5,1.0,0.0,0.0,0.0,0.0,0.0
path6,1.0,0.0,0.0,0.0,0.0,0.0
path7,1.0,0.0,0.0,0.0,0.0,0.0
path8,1.0,0.0,0.0,0.0,0.0,0.0
path9,1.0,0.0,0.0,0.0,0.0,0.0
